model_type,step,input_length,accuracy,loss
RNN,0,5,0.1015625,2.3025827407836914
RNN,10,5,0.1953125,2.0432798862457275
RNN,20,5,0.1640625,1.936789631843567
RNN,30,5,0.21875,1.8633476495742798
RNN,40,5,0.1796875,1.807372808456421
RNN,50,5,0.2890625,1.78199303150177
RNN,60,5,0.2734375,1.6372636556625366
RNN,70,5,0.265625,1.6813613176345825
RNN,80,5,0.2421875,1.473376750946045
RNN,90,5,0.3671875,1.652900218963623
RNN,100,5,0.359375,1.3605419397354126
RNN,0,5,0.09375,2.3025829792022705
RNN,10,5,0.171875,2.0438668727874756
RNN,20,5,0.15625,1.7616664171218872
RNN,30,5,0.21875,1.8206543922424316
RNN,40,5,0.171875,1.8416035175323486
RNN,50,5,0.3046875,1.64666748046875
RNN,60,5,0.234375,1.6162997484207153
RNN,70,5,0.234375,1.8213114738464355
RNN,80,5,0.265625,1.5302362442016602
RNN,90,5,0.2890625,1.552183747291565
RNN,100,5,0.328125,1.4057434797286987
RNN,0,5,0.1015625,2.3025827407836914
RNN,10,5,0.1875,2.004127264022827
RNN,20,5,0.1640625,1.7578448057174683
RNN,30,5,0.21875,1.794852375984192
RNN,40,5,0.1484375,1.8413492441177368
RNN,50,5,0.2578125,1.666765570640564
RNN,60,5,0.25,1.7095072269439697
RNN,70,5,0.25,1.7469582557678223
RNN,80,5,0.28125,1.426393747329712
RNN,90,5,0.3828125,1.3278076648712158
RNN,100,5,0.4375,1.164092779159546
RNN,0,5,0.09375,2.3025829792022705
RNN,10,5,0.1953125,2.097822666168213
RNN,20,5,0.1640625,1.8000617027282715
RNN,30,5,0.2265625,1.8782544136047363
RNN,40,5,0.203125,1.7222238779067993
RNN,50,5,0.2421875,1.535544514656067
RNN,60,5,0.40625,1.4317808151245117
RNN,70,5,0.4140625,1.4716463088989258
RNN,80,5,0.28125,1.3852616548538208
RNN,90,5,0.3515625,1.2958261966705322
RNN,100,5,0.4453125,1.258690357208252
RNN,0,5,0.1171875,2.3025829792022705
RNN,10,5,0.109375,2.3015809059143066
RNN,20,5,0.1328125,1.8580262660980225
RNN,30,5,0.2578125,1.6974471807479858
RNN,40,5,0.28125,1.5907020568847656
RNN,50,5,0.2890625,1.5584383010864258
RNN,60,5,0.2421875,1.8189069032669067
RNN,70,5,0.4375,1.4185870885849
RNN,80,5,0.3828125,1.41887629032135
RNN,90,5,0.1953125,1.9150505065917969
RNN,100,5,0.34375,1.3122714757919312
RNN,0,5,0.1015625,2.3025827407836914
RNN,10,5,0.1015625,2.3067398071289062
RNN,20,5,0.1015625,2.113389253616333
RNN,30,5,0.234375,1.750085473060608
RNN,40,5,0.171875,2.130760669708252
RNN,50,5,0.3203125,1.582138180732727
RNN,60,5,0.3515625,1.4811713695526123
RNN,70,5,0.4140625,1.470973253250122
RNN,80,5,0.2578125,1.73726224899292
RNN,90,5,0.3125,1.462963342666626
RNN,100,5,0.484375,1.375308632850647
RNN,110,5,0.2421875,1.7370126247406006
RNN,120,5,0.421875,1.3397784233093262
RNN,130,5,0.40625,1.2512407302856445
RNN,140,5,0.4296875,1.369651198387146
RNN,150,5,0.4921875,1.1619086265563965
RNN,160,5,0.4140625,1.1894899606704712
RNN,170,5,0.453125,1.1808310747146606
RNN,180,5,0.25,1.6418017148971558
RNN,190,5,0.453125,1.1218836307525635
RNN,200,5,0.484375,1.0854276418685913
RNN,210,5,0.53125,1.0876394510269165
RNN,220,5,0.625,0.9982443451881409
RNN,230,5,0.5625,1.0788629055023193
RNN,240,5,0.515625,1.0028746128082275
RNN,250,5,0.53125,1.1096371412277222
RNN,260,5,0.609375,0.9484913349151611
RNN,270,5,0.5390625,0.9696754813194275
RNN,280,5,0.5,1.0046933889389038
RNN,290,5,0.5546875,0.9438242316246033
RNN,300,5,0.6015625,0.928969144821167
RNN,310,5,0.6015625,0.8485342860221863
RNN,320,5,0.640625,0.9310328960418701
RNN,330,5,0.5703125,0.9713364839553833
RNN,340,5,0.671875,0.7532817125320435
RNN,350,5,0.4765625,1.067591905593872
RNN,360,5,0.7578125,0.7190215587615967
RNN,370,5,0.6015625,0.8329172134399414
RNN,380,5,0.7109375,0.7260398864746094
RNN,390,5,0.703125,0.7783351540565491
RNN,400,5,0.5625,0.8861391544342041
RNN,410,5,0.7578125,0.6205469965934753
RNN,420,5,0.515625,0.9003627896308899
RNN,430,5,0.515625,1.0606091022491455
RNN,440,5,0.6640625,0.7081101536750793
RNN,450,5,0.8359375,0.5606884956359863
RNN,460,5,0.3046875,1.5581624507904053
RNN,470,5,0.7890625,0.5162107348442078
RNN,480,5,0.578125,0.8406238555908203
RNN,490,5,0.7421875,0.6336746215820312
RNN,500,5,0.8515625,0.48275434970855713
RNN,510,5,0.6484375,0.7642156481742859
RNN,520,5,0.640625,0.7046689987182617
