ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:21] Train Step 0000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 5294.58, Accuracy = 0.08, Loss = 2.313
[2019-11-27 17:21] Train Step 0010/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8190.75, Accuracy = 0.13, Loss = 2.219
[2019-11-27 17:21] Train Step 0020/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8719.68, Accuracy = 0.22, Loss = 1.894
[2019-11-27 17:21] Train Step 0030/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8024.98, Accuracy = 0.39, Loss = 1.700
[2019-11-27 17:21] Train Step 0040/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8186.38, Accuracy = 0.34, Loss = 1.583
[2019-11-27 17:21] Train Step 0050/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7771.61, Accuracy = 0.39, Loss = 1.451
[2019-11-27 17:21] Train Step 0060/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7325.20, Accuracy = 0.34, Loss = 1.495
[2019-11-27 17:21] Train Step 0070/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7689.91, Accuracy = 0.34, Loss = 1.371
[2019-11-27 17:21] Train Step 0080/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7678.14, Accuracy = 0.42, Loss = 1.323
[2019-11-27 17:21] Train Step 0090/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7858.87, Accuracy = 0.48, Loss = 1.236
[2019-11-27 17:21] Train Step 0100/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8511.90, Accuracy = 0.67, Loss = 1.075
[2019-11-27 17:21] Train Step 0110/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 5504.05, Accuracy = 0.57, Loss = 1.099
