ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:21] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 6345.62, Accuracy = 0.15, Loss = 2.318
[2019-11-27 17:21] Train Step 0010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25026.61, Accuracy = 0.26, Loss = 1.826
[2019-11-27 17:21] Train Step 0020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25389.97, Accuracy = 0.47, Loss = 1.409
[2019-11-27 17:21] Train Step 0030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24703.03, Accuracy = 0.49, Loss = 1.298
[2019-11-27 17:21] Train Step 0040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25116.77, Accuracy = 0.33, Loss = 1.431
[2019-11-27 17:21] Train Step 0050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25337.25, Accuracy = 0.51, Loss = 1.132
[2019-11-27 17:21] Train Step 0060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22840.71, Accuracy = 0.62, Loss = 1.056
[2019-11-27 17:21] Train Step 0070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25211.13, Accuracy = 0.67, Loss = 0.920
[2019-11-27 17:21] Train Step 0080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25399.58, Accuracy = 0.65, Loss = 0.924
[2019-11-27 17:21] Train Step 0090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24938.26, Accuracy = 0.62, Loss = 0.917
[2019-11-27 17:21] Train Step 0100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24978.87, Accuracy = 0.78, Loss = 0.769
[2019-11-27 17:21] Train Step 0110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25102.68, Accuracy = 0.66, Loss = 0.806
[2019-11-27 17:21] Train Step 0120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25411.60, Accuracy = 0.80, Loss = 0.673
[2019-11-27 17:21] Train Step 0130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25344.42, Accuracy = 0.77, Loss = 0.651
[2019-11-27 17:21] Train Step 0140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24447.67, Accuracy = 0.73, Loss = 0.684
[2019-11-27 17:21] Train Step 0150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22576.57, Accuracy = 0.73, Loss = 0.637
[2019-11-27 17:21] Train Step 0160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24540.43, Accuracy = 0.76, Loss = 0.611
[2019-11-27 17:21] Train Step 0170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24999.81, Accuracy = 0.73, Loss = 0.557
[2019-11-27 17:21] Train Step 0180/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25404.39, Accuracy = 0.81, Loss = 0.494
[2019-11-27 17:21] Train Step 0190/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24722.37, Accuracy = 0.69, Loss = 0.585
[2019-11-27 17:21] Train Step 0200/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24427.65, Accuracy = 0.83, Loss = 0.458
[2019-11-27 17:21] Train Step 0210/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24874.71, Accuracy = 0.80, Loss = 0.510
[2019-11-27 17:21] Train Step 0220/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22906.98, Accuracy = 0.87, Loss = 0.430
