ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5 ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:27] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 8762.09, Accuracy = 0.09, Loss = 2.304
[2019-11-27 17:27] Train Step 0010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25087.43, Accuracy = 0.30, Loss = 1.763
[2019-11-27 17:27] Train Step 0020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25272.84, Accuracy = 0.39, Loss = 1.548
[2019-11-27 17:27] Train Step 0030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25338.44, Accuracy = 0.48, Loss = 1.319
[2019-11-27 17:27] Train Step 0040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25423.64, Accuracy = 0.44, Loss = 1.237
[2019-11-27 17:27] Train Step 0050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25146.18, Accuracy = 0.53, Loss = 1.111
[2019-11-27 17:27] Train Step 0060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22934.38, Accuracy = 0.52, Loss = 1.067
[2019-11-27 17:27] Train Step 0070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25423.64, Accuracy = 0.73, Loss = 0.926
[2019-11-27 17:27] Train Step 0080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25581.12, Accuracy = 0.68, Loss = 0.884
[2019-11-27 17:27] Train Step 0090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25480.35, Accuracy = 0.68, Loss = 0.801
[2019-11-27 17:27] Train Step 0100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24890.86, Accuracy = 0.66, Loss = 0.815
[2019-11-27 17:27] Train Step 0110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24758.85, Accuracy = 0.65, Loss = 0.840
[2019-11-27 17:27] Train Step 0120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22467.92, Accuracy = 0.77, Loss = 0.692
[2019-11-27 17:27] Train Step 0130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25000.97, Accuracy = 0.78, Loss = 0.609
[2019-11-27 17:27] Train Step 0140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25442.91, Accuracy = 0.83, Loss = 0.574
[2019-11-27 17:27] Train Step 0150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23498.53, Accuracy = 0.72, Loss = 0.651
[2019-11-27 17:27] Train Step 0160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25450.15, Accuracy = 0.70, Loss = 0.596
[2019-11-27 17:27] Train Step 0170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25430.86, Accuracy = 0.88, Loss = 0.483
[2019-11-27 17:27] Train Step 0180/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25135.58, Accuracy = 0.76, Loss = 0.546
[2019-11-27 17:27] Train Step 0190/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25421.23, Accuracy = 0.89, Loss = 0.462
[2019-11-27 17:27] Train Step 0200/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24847.08, Accuracy = 0.60, Loss = 0.610
[2019-11-27 17:27] Train Step 0210/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23082.29, Accuracy = 0.92, Loss = 0.366
[2019-11-27 17:27] Train Step 0220/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23593.54, Accuracy = 0.82, Loss = 0.410
[2019-11-27 17:27] Train Step 0230/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24769.13, Accuracy = 0.72, Loss = 0.468
[2019-11-27 17:27] Train Step 0240/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24532.58, Accuracy = 0.84, Loss = 0.465
[2019-11-27 17:27] Train Step 0250/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25052.31, Accuracy = 0.86, Loss = 0.391
[2019-11-27 17:27] Train Step 0260/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24949.85, Accuracy = 0.88, Loss = 0.360
[2019-11-27 17:27] Train Step 0270/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25257.38, Accuracy = 0.91, Loss = 0.333
[2019-11-27 17:27] Train Step 0280/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24945.21, Accuracy = 0.90, Loss = 0.348
[2019-11-27 17:27] Train Step 0290/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24528.09, Accuracy = 0.88, Loss = 0.332
[2019-11-27 17:27] Train Step 0300/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25179.20, Accuracy = 1.00, Loss = 0.233
[2019-11-27 17:27] Train Step 0310/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22928.50, Accuracy = 0.97, Loss = 0.295
[2019-11-27 17:27] Train Step 0320/10000, Batch Size = 128, Model type RNN, Examples/Sec = 21870.25, Accuracy = 0.93, Loss = 0.336
[2019-11-27 17:27] Train Step 0330/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24718.95, Accuracy = 0.98, Loss = 0.264
[2019-11-27 17:27] Train Step 0340/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23345.26, Accuracy = 0.98, Loss = 0.310
[2019-11-27 17:27] Train Step 0350/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25485.19, Accuracy = 0.98, Loss = 0.218
[2019-11-27 17:27] Train Step 0360/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25062.83, Accuracy = 0.95, Loss = 0.276
[2019-11-27 17:27] Train Step 0370/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24885.09, Accuracy = 0.92, Loss = 0.266
[2019-11-27 17:27] Train Step 0380/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22951.05, Accuracy = 0.94, Loss = 0.269
[2019-11-27 17:27] Train Step 0390/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24830.99, Accuracy = 0.91, Loss = 0.227
[2019-11-27 17:27] Train Step 0400/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25011.46, Accuracy = 0.95, Loss = 0.257
[2019-11-27 17:27] Train Step 0410/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24707.58, Accuracy = 0.99, Loss = 0.221
