ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5 ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:27] Train Step 0000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 4934.29, Accuracy = 0.08, Loss = 2.298
[2019-11-27 17:27] Train Step 0010/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8278.66, Accuracy = 0.13, Loss = 2.233
[2019-11-27 17:27] Train Step 0020/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8164.22, Accuracy = 0.09, Loss = 2.128
[2019-11-27 17:27] Train Step 0030/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7701.60, Accuracy = 0.30, Loss = 1.719
[2019-11-27 17:27] Train Step 0040/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7785.48, Accuracy = 0.34, Loss = 1.608
[2019-11-27 17:27] Train Step 0050/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7757.47, Accuracy = 0.20, Loss = 1.603
[2019-11-27 17:27] Train Step 0060/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7921.72, Accuracy = 0.29, Loss = 1.474
[2019-11-27 17:27] Train Step 0070/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8263.24, Accuracy = 0.45, Loss = 1.324
[2019-11-27 17:27] Train Step 0080/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8027.14, Accuracy = 0.42, Loss = 1.312
[2019-11-27 17:27] Train Step 0090/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7970.65, Accuracy = 0.48, Loss = 1.189
[2019-11-27 17:27] Train Step 0100/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7516.36, Accuracy = 0.51, Loss = 1.156
[2019-11-27 17:27] Train Step 0110/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7617.68, Accuracy = 0.38, Loss = 1.224
[2019-11-27 17:27] Train Step 0120/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8228.16, Accuracy = 0.49, Loss = 1.065
[2019-11-27 17:27] Train Step 0130/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7266.60, Accuracy = 0.58, Loss = 1.027
[2019-11-27 17:27] Train Step 0140/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8027.14, Accuracy = 0.64, Loss = 0.970
[2019-11-27 17:27] Train Step 0150/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8108.00, Accuracy = 0.59, Loss = 0.980
[2019-11-27 17:27] Train Step 0160/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8037.23, Accuracy = 0.65, Loss = 0.932
[2019-11-27 17:27] Train Step 0170/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8118.05, Accuracy = 0.65, Loss = 0.895
[2019-11-27 17:27] Train Step 0180/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7657.88, Accuracy = 0.61, Loss = 0.882
[2019-11-27 17:27] Train Step 0190/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 9351.52, Accuracy = 0.67, Loss = 0.833
[2019-11-27 17:27] Train Step 0200/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7698.29, Accuracy = 0.60, Loss = 0.847
[2019-11-27 17:27] Train Step 0210/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7770.60, Accuracy = 0.66, Loss = 0.795
[2019-11-27 17:27] Train Step 0220/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8074.83, Accuracy = 0.62, Loss = 0.817
[2019-11-27 17:27] Train Step 0230/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7730.55, Accuracy = 0.50, Loss = 0.836
[2019-11-27 17:27] Train Step 0240/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7648.39, Accuracy = 0.51, Loss = 0.856
[2019-11-27 17:27] Train Step 0250/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7711.34, Accuracy = 0.47, Loss = 0.828
[2019-11-27 17:27] Train Step 0260/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7683.30, Accuracy = 0.46, Loss = 0.846
[2019-11-27 17:27] Train Step 0270/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7535.56, Accuracy = 0.42, Loss = 0.852
[2019-11-27 17:27] Train Step 0280/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8371.99, Accuracy = 0.36, Loss = 0.898
[2019-11-27 17:27] Train Step 0290/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7510.47, Accuracy = 0.41, Loss = 0.878
[2019-11-27 17:27] Train Step 0300/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8002.97, Accuracy = 0.43, Loss = 0.869
[2019-11-27 17:27] Train Step 0310/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7613.57, Accuracy = 0.48, Loss = 0.887
[2019-11-27 17:27] Train Step 0320/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8275.98, Accuracy = 0.34, Loss = 0.978
[2019-11-27 17:27] Train Step 0330/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7479.39, Accuracy = 0.35, Loss = 0.920
[2019-11-27 17:27] Train Step 0340/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7697.85, Accuracy = 0.39, Loss = 0.945
[2019-11-27 17:27] Train Step 0350/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7495.27, Accuracy = 0.61, Loss = 0.668
[2019-11-27 17:27] Train Step 0360/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7340.72, Accuracy = 0.36, Loss = 0.911
[2019-11-27 17:27] Train Step 0370/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7672.43, Accuracy = 0.45, Loss = 0.875
[2019-11-27 17:27] Train Step 0380/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7448.47, Accuracy = 0.59, Loss = 0.669
[2019-11-27 17:27] Train Step 0390/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8119.03, Accuracy = 0.59, Loss = 0.644
[2019-11-27 17:27] Train Step 0400/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7375.11, Accuracy = 0.41, Loss = 0.790
[2019-11-27 17:27] Train Step 0410/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7645.45, Accuracy = 0.47, Loss = 0.827
[2019-11-27 17:27] Train Step 0420/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7819.38, Accuracy = 0.55, Loss = 0.757
[2019-11-27 17:27] Train Step 0430/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8116.09, Accuracy = 0.94, Loss = 0.364
[2019-11-27 17:27] Train Step 0440/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7613.25, Accuracy = 0.84, Loss = 0.345
[2019-11-27 17:27] Train Step 0450/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7348.96, Accuracy = 0.69, Loss = 0.508
[2019-11-27 17:27] Train Step 0460/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8191.00, Accuracy = 0.65, Loss = 0.540
[2019-11-27 17:27] Train Step 0470/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7578.21, Accuracy = 0.64, Loss = 0.615
