ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5  iteration  0  ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-28 15:08] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 9909.76, Accuracy = 0.09, Loss = 2.320
[2019-11-28 15:08] Train Step 0010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24493.40, Accuracy = 0.31, Loss = 1.759
[2019-11-28 15:08] Train Step 0020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24468.84, Accuracy = 0.41, Loss = 1.590
[2019-11-28 15:08] Train Step 0030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24539.30, Accuracy = 0.48, Loss = 1.328
[2019-11-28 15:08] Train Step 0040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24602.28, Accuracy = 0.60, Loss = 1.179
[2019-11-28 15:08] Train Step 0050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24422.09, Accuracy = 0.46, Loss = 1.180
[2019-11-28 15:08] Train Step 0060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 20010.84, Accuracy = 0.48, Loss = 1.190
[2019-11-28 15:08] Train Step 0070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18749.42, Accuracy = 0.62, Loss = 0.967
[2019-11-28 15:08] Train Step 0080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15898.81, Accuracy = 0.77, Loss = 0.842
[2019-11-28 15:08] Train Step 0090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17057.60, Accuracy = 0.84, Loss = 0.729
[2019-11-28 15:08] Train Step 0100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19236.48, Accuracy = 0.52, Loss = 0.937
