ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5  iteration  0  ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-28 16:06] Train Step 0000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 4680.45, Accuracy = 0.15, Loss = 2.301
[2019-11-28 16:06] Train Step 0010/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8429.57, Accuracy = 0.13, Loss = 2.250
[2019-11-28 16:06] Train Step 0020/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8524.06, Accuracy = 0.10, Loss = 2.065
[2019-11-28 16:06] Train Step 0030/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8248.89, Accuracy = 0.29, Loss = 1.789
[2019-11-28 16:06] Train Step 0040/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8358.70, Accuracy = 0.21, Loss = 1.766
[2019-11-28 16:06] Train Step 0050/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8409.50, Accuracy = 0.22, Loss = 1.638
[2019-11-28 16:06] Train Step 0060/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8313.14, Accuracy = 0.27, Loss = 1.506
[2019-11-28 16:06] Train Step 0070/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8106.65, Accuracy = 0.49, Loss = 1.337
[2019-11-28 16:06] Train Step 0080/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8204.64, Accuracy = 0.42, Loss = 1.342
[2019-11-28 16:06] Train Step 0090/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8033.62, Accuracy = 0.45, Loss = 1.183
[2019-11-28 16:06] Train Step 0100/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7797.01, Accuracy = 0.51, Loss = 1.124
[2019-11-28 16:06] Train Step 0110/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7783.45, Accuracy = 0.38, Loss = 1.200
