Initialize dataset with 532673 characters, 55 unique.
train.py:81: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-29 23:28] Train Step 0000/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 804.79, Accuracy = 0.02, Loss = 4.032
GENERATED SENTENCE at step 0 ------- wn                                                

[2019-11-29 23:28] Train Step 0005/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6708.71, Accuracy = 0.19, Loss = 2.961
[2019-11-29 23:28] Train Step 0010/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6832.16, Accuracy = 0.20, Loss = 2.945
[2019-11-29 23:28] Train Step 0015/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6874.32, Accuracy = 0.20, Loss = 2.929
[2019-11-29 23:28] Train Step 0020/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6847.14, Accuracy = 0.20, Loss = 2.918
[2019-11-29 23:28] Train Step 0025/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6818.79, Accuracy = 0.20, Loss = 2.935
[2019-11-29 23:28] Train Step 0030/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6665.23, Accuracy = 0.20, Loss = 2.936
[2019-11-29 23:28] Train Step 0035/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6833.03, Accuracy = 0.20, Loss = 2.949
[2019-11-29 23:28] Train Step 0040/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6770.12, Accuracy = 0.19, Loss = 2.905
[2019-11-29 23:28] Train Step 0045/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6815.68, Accuracy = 0.20, Loss = 2.902
[2019-11-29 23:28] Train Step 0050/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6831.98, Accuracy = 0.19, Loss = 2.906
[2019-11-29 23:28] Train Step 0055/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6818.62, Accuracy = 0.20, Loss = 2.909
[2019-11-29 23:28] Train Step 0060/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6900.65, Accuracy = 0.20, Loss = 2.904
[2019-11-29 23:28] Train Step 0065/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6866.59, Accuracy = 0.19, Loss = 2.878
[2019-11-29 23:28] Train Step 0070/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6909.36, Accuracy = 0.20, Loss = 2.881
