dnn_hidden_units : 100
learning_rate : 0.002
max_steps : 1500
batch_size : 200
eval_freq : 1
data_dir : ./cifar10/cifar-10-batches-py
neg_slope : 0.02
plot : 1
n_inputs 3072, n_classes 10
[DEBUG] start training
iter 0, avg loss train 2.3026090892140365, test loss 2.302488196494763, train acc 0.065, test acc 0.1601
iter 1, avg loss train 2.302550924670219, test loss 2.3023492255775775, train acc 0.15, test acc 0.212
iter 2, avg loss train 2.3024731841308097, test loss 2.3021489445048524, train acc 0.19, test acc 0.2241
iter 3, avg loss train 2.3023620361743076, test loss 2.3017856325386017, train acc 0.28, test acc 0.1917
iter 4, avg loss train 2.302262503149142, test loss 2.3013429561612333, train acc 0.185, test acc 0.1827
iter 5, avg loss train 2.302124655662246, test loss 2.30065523918462, train acc 0.21, test acc 0.1783
iter 6, avg loss train 2.3018467780213556, test loss 2.2991030475434613, train acc 0.18, test acc 0.1771
iter 7, avg loss train 2.301488254745366, test loss 2.2969403237656643, train acc 0.19, test acc 0.1694
iter 8, avg loss train 2.300966018829605, test loss 2.2934405137755456, train acc 0.15, test acc 0.1738
iter 9, avg loss train 2.300657225184797, test loss 2.290951110461829, train acc 0.15, test acc 0.17
iter 10, avg loss train 2.2998947223754342, test loss 2.2852371552305146, train acc 0.145, test acc 0.1717
iter 11, avg loss train 2.2990653381503545, test loss 2.2789274880054062, train acc 0.12, test acc 0.1912
iter 12, avg loss train 2.2969921548264716, test loss 2.26318961236242, train acc 0.205, test acc 0.1947
iter 13, avg loss train 2.2941211095448293, test loss 2.245458041687765, train acc 0.2, test acc 0.1759
iter 14, avg loss train 2.2911694494281987, test loss 2.229627341937985, train acc 0.205, test acc 0.1962
iter 15, avg loss train 2.28790285288454, test loss 2.212850169059855, train acc 0.15, test acc 0.1904
iter 16, avg loss train 2.282045320440328, test loss 2.193467863413406, train acc 0.195, test acc 0.2011
iter 17, avg loss train 2.276845130831663, test loss 2.179622717402247, train acc 0.17, test acc 0.1808
iter 18, avg loss train 2.2708175637133876, test loss 2.1623259042490792, train acc 0.22, test acc 0.1984
iter 19, avg loss train 2.265830721533497, test loss 2.146772589379453, train acc 0.225, test acc 0.2037
iter 20, avg loss train 2.2617792959206864, test loss 2.1316163691926637, train acc 0.215, test acc 0.2211
iter 21, avg loss train 2.2545096687202335, test loss 2.120467901338864, train acc 0.24, test acc 0.2038
iter 22, avg loss train 2.249361666050842, test loss 2.107284738678713, train acc 0.16, test acc 0.2104
iter 23, avg loss train 2.2416194324998724, test loss 2.097668646005004, train acc 0.23, test acc 0.221
iter 24, avg loss train 2.237312650133761, test loss 2.099006007199502, train acc 0.24, test acc 0.1922
iter 25, avg loss train 2.2338786286280103, test loss 2.0796940702518, train acc 0.21, test acc 0.2289
iter 26, avg loss train 2.2262494574566425, test loss 2.068322376282803, train acc 0.28, test acc 0.2306
iter 27, avg loss train 2.221723664839851, test loss 2.0690053731880083, train acc 0.24, test acc 0.2178
iter 28, avg loss train 2.2157474925649003, test loss 2.0524474185905195, train acc 0.225, test acc 0.2296
iter 29, avg loss train 2.2090250546555468, test loss 2.0561763086733555, train acc 0.21, test acc 0.2378
iter 30, avg loss train 2.2022279118457337, test loss 2.0417978284118066, train acc 0.27, test acc 0.2369
iter 31, avg loss train 2.197764916938963, test loss 2.0303920750340367, train acc 0.23, test acc 0.235
iter 32, avg loss train 2.1926173478603985, test loss 2.0244148858422744, train acc 0.205, test acc 0.2394
iter 33, avg loss train 2.1882195743056307, test loss 2.0175493143815895, train acc 0.22, test acc 0.2484
iter 34, avg loss train 2.185774459612228, test loss 2.0174813250778154, train acc 0.175, test acc 0.2529
iter 35, avg loss train 2.1816673782075044, test loss 2.009636428866745, train acc 0.245, test acc 0.2656
iter 36, avg loss train 2.1760504634131186, test loss 1.9998238935395012, train acc 0.25, test acc 0.2611
