iter 0, train_loss_avg 2.3255677223205566, test_loss_avg 13.280782699584961, train_acc 0.15666666626930237, test_acc_avg 0.1031488912353913
iter 1, train_loss_avg 7.440355539321899, test_loss_avg 7.782123565673828, train_acc 0.12333333492279053, test_acc_avg 0.11689778061211109
iter 2, train_loss_avg 7.816277980804443, test_loss_avg 10.928218841552734, train_acc 0.10333333909511566, test_acc_avg 0.11002666935324669
iter 3, train_loss_avg 8.477268815040588, test_loss_avg 4.833715915679932, train_acc 0.12666666507720947, test_acc_avg 0.10044666889309883
iter 4, train_loss_avg 7.729402256011963, test_loss_avg 3.0455448627471924, train_acc 0.11666666716337204, test_acc_avg 0.13631778104106584
iter 5, train_loss_avg 6.960870424906413, test_loss_avg 2.527944326400757, train_acc 0.1366666704416275, test_acc_avg 0.14475111415982247
iter 6, train_loss_avg 6.325870718274798, test_loss_avg 2.5232508182525635, train_acc 0.1300000101327896, test_acc_avg 0.18259333725770316
iter 7, train_loss_avg 5.836953818798065, test_loss_avg 2.5855979919433594, train_acc 0.1899999976158142, test_acc_avg 0.15045778111120064
iter 8, train_loss_avg 5.465932475195991, test_loss_avg 2.296475648880005, train_acc 0.18000000715255737, test_acc_avg 0.20410667117436726
iter 9, train_loss_avg 5.1486389398574826, test_loss_avg 2.3041205406188965, train_acc 0.1733333319425583, test_acc_avg 0.17293111498653888
iter 10, train_loss_avg 4.898245594718239, test_loss_avg 2.246279001235962, train_acc 0.18666666746139526, test_acc_avg 0.16887778154512245
iter 11, train_loss_avg 4.674103558063507, test_loss_avg 2.273099184036255, train_acc 0.1966666728258133, test_acc_avg 0.16756444802383583
iter 12, train_loss_avg 4.489979945696318, test_loss_avg 2.237649440765381, train_acc 0.1666666716337204, test_acc_avg 0.20234444905320803
iter 13, train_loss_avg 4.332646284784589, test_loss_avg 2.1774885654449463, train_acc 0.1899999976158142, test_acc_avg 0.20698222722609838
