iter 0, train_loss_avg 2.3255677223205566, test_loss_avg 13.280782699584961, train_acc 0.15666666626930237, test_acc_avg 0.1031488912353913
iter 50, train_loss_avg 2.6871782541275024, test_loss_avg 1.884784460067749, train_acc 0.3033333420753479, test_acc_avg 0.3136177847981453
iter 100, train_loss_avg 2.268413191974753, test_loss_avg 1.745871901512146, train_acc 0.35333335399627686, test_acc_avg 0.3702377859155337
iter 150, train_loss_avg 2.098237766335342, test_loss_avg 1.676464557647705, train_acc 0.4099999964237213, test_acc_avg 0.39612000914414724
iter 200, train_loss_avg 1.9887365369654413, test_loss_avg 1.6415221691131592, train_acc 0.3933333456516266, test_acc_avg 0.4134444541931152
iter 250, train_loss_avg 1.9158281738539615, test_loss_avg 1.56194269657135, train_acc 0.44333335757255554, test_acc_avg 0.44229112191994985
iter 300, train_loss_avg 1.8578460244245307, test_loss_avg 1.5593122243881226, train_acc 0.3933333456516266, test_acc_avg 0.434515566209952
iter 350, train_loss_avg 1.811270020286582, test_loss_avg 1.5057584047317505, train_acc 0.45000001788139343, test_acc_avg 0.46642667706807456
iter 400, train_loss_avg 1.7725453914846863, test_loss_avg 1.504109263420105, train_acc 0.4766666889190674, test_acc_avg 0.4744844545722008
iter 450, train_loss_avg 1.7402433881209853, test_loss_avg 1.5015685558319092, train_acc 0.4866666793823242, test_acc_avg 0.4696511213382085
iter 500, train_loss_avg 1.7142645301457176, test_loss_avg 1.452172040939331, train_acc 0.4933333396911621, test_acc_avg 0.48756445467472076
iter 550, train_loss_avg 1.6865052224936372, test_loss_avg 1.483486294746399, train_acc 0.48000001907348633, test_acc_avg 0.4752911212444305
iter 600, train_loss_avg 1.6631355585155392, test_loss_avg 1.5063261985778809, train_acc 0.49000000953674316, test_acc_avg 0.4740511213342349
iter 650, train_loss_avg 1.6449272387221845, test_loss_avg 1.4626803398132324, train_acc 0.4300000071525574, test_acc_avg 0.48718667664130527
iter 700, train_loss_avg 1.623596963120595, test_loss_avg 1.4362049102783203, train_acc 0.5300000309944153, test_acc_avg 0.5079577887058258
iter 750, train_loss_avg 1.6050389333666562, test_loss_avg 1.4410104751586914, train_acc 0.5266667008399963, test_acc_avg 0.4949622321724892
iter 800, train_loss_avg 1.5887475574805348, test_loss_avg 1.4492896795272827, train_acc 0.5300000309944153, test_acc_avg 0.4904866767724355
iter 850, train_loss_avg 1.5723978771306093, test_loss_avg 1.4749772548675537, train_acc 0.5566666722297668, test_acc_avg 0.48838000996907555
iter 900, train_loss_avg 1.5562857655388667, test_loss_avg 1.4158003330230713, train_acc 0.5800000429153442, test_acc_avg 0.5171600119670232
iter 950, train_loss_avg 1.5420685905011295, test_loss_avg 1.3929938077926636, train_acc 0.5566666722297668, test_acc_avg 0.5197955673933029
iter 1000, train_loss_avg 1.5290546706625512, test_loss_avg 1.426938772201538, train_acc 0.5766666531562805, test_acc_avg 0.5113377896149953
iter 1050, train_loss_avg 1.5139424554741348, test_loss_avg 1.456817388534546, train_acc 0.550000011920929, test_acc_avg 0.5169644556244214
iter 1100, train_loss_avg 1.5024422204678543, test_loss_avg 1.462428331375122, train_acc 0.5133333206176758, test_acc_avg 0.49497112168868385
iter 1150, train_loss_avg 1.4921943112935945, test_loss_avg 1.385310411453247, train_acc 0.5766666531562805, test_acc_avg 0.5205177896022797
iter 1200, train_loss_avg 1.4792302883634163, test_loss_avg 1.4232797622680664, train_acc 0.5733333230018616, test_acc_avg 0.5070466771125793
iter 1250, train_loss_avg 1.4672270449135991, test_loss_avg 1.3958232402801514, train_acc 0.6100000143051147, test_acc_avg 0.523737790286541
iter 1300, train_loss_avg 1.4555919418694145, test_loss_avg 1.3765963315963745, train_acc 0.6299999952316284, test_acc_avg 0.5330066790183385
iter 1350, train_loss_avg 1.443869390415316, test_loss_avg 1.3968476057052612, train_acc 0.6133333444595337, test_acc_avg 0.5290622353951137
iter 1400, train_loss_avg 1.4322835041913367, test_loss_avg 1.4007211923599243, train_acc 0.6166666746139526, test_acc_avg 0.5209711225628852
iter 1450, train_loss_avg 1.422679394955967, test_loss_avg 1.3946523666381836, train_acc 0.5800000429153442, test_acc_avg 0.5181066784660021
Best Accuracy 0.5330066790183385
Start plotting...
